id,timestamp,temperature,pressure,humidity
S001,2026-07-17T06:53:34.116760,33.6,1022.1,44.8
S002,2026-07-17T06:48:34.116792,32.8,1048.9,34.3
S003,2026-07-17T06:43:34.116802,20.8,984.0,64.0
S004,2026-07-17T06:38:34.116808,19.1,1034.8,41.8
S005,2026-07-17T06:33:34.116813,24.2,1008.8,55.6
S006,2026-07-17T06:28:34.116819,30.6,1003.9,61.3
S007,2026-07-17T06:23:34.116825,24.0,996.7,37.8
S008,2026-07-17T06:18:34.116830,26.1,1021.2,40.1
S009,2026-07-17T06:13:34.116835,28.0,1014.4,50.6
S010,2026-07-17T06:08:34.116840,28.2,991.6,68.3
S011,2026-07-17T06:03:34.116846,31.3,1043.1,46.7
S012,2026-07-17T05:58:34.116851,21.7,1036.3,30.4
S013,2026-07-17T05:53:34.116856,18.8,1040.6,64.9
S014,2026-07-17T05:48:34.116861,19.0,1010.9,42.1
S015,2026-07-17T05:43:34.116866,32.6,1021.3,65.6
S016,2026-07-17T05:38:34.116871,22.1,1036.8,35.1
S017,2026-07-17T05:33:34.116876,23.1,1015.2,31.2
S018,2026-07-17T05:28:34.116882,23.1,1047.4,34.8
S019,2026-07-17T05:23:34.116887,19.3,1011.1,41.8
S020,2026-07-17T05:18:34.116892,28.5,988.0,50.6
